geom_id,AR,lambda,twist,w_hover,ucb_total,ucb_hover,ucb_cruise,exploit_hover,explore_hover,exploit_cruise,explore_cruise,hover_mu,hover_std_raw,hover_lower95,hover_upper95,cruise_mu,cruise_std_raw,cruise_lower95,cruise_upper95,hover_alpha,hover_v,cruise_alpha,cruise_v,median_hover,median_cruise,kappa_hover_eff,kappa_cruise_eff,lambda95_hover,lambda95_cruise
G003,19.9275,0.8914,-12.6112,0.6,1.82249,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.65,1.85919,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.7,1.8959,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.75,1.93261,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.8,1.96931,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.85,2.00602,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.9,2.04273,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.95,2.07943,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,1,2.11614,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0,1.06487,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
