k_id,esc_signal,n_reps,T_method,T_loc,T_std_raw,T_skew,T_kurt,T_var_boot,T_se_boot,Q_method,Q_loc,Q_std_raw,Q_skew,Q_kurt,Q_var_boot,Q_se_boot,RPM_method,RPM_loc,RPM_std_raw,RPM_skew,RPM_kurt,RPM_var_boot,RPM_se_boot,VIB_method,VIB_loc,VIB_std_raw,VIB_skew,VIB_kurt,VIB_var_boot,VIB_se_boot,N_method,N_skew,N_kurt,D_method,D_skew,D_kurt,eta_point,eta_var_boot,eta_se_boot,v,neg_T_frac
LS_030_01,1315.2631578947369,1000,mean,1.181065590453377,0.14850613934775572,0.03478065922538261,-1.04521575190055,2.3127341678864344e-05,0.0048090894854290606,mean,0.02720561006395792,0.010089605432444774,0.008946390530390046,-0.7476940773518526,1.0378868054632767e-07,0.0003221625064254493,trim10,1469.99625,1.6848604555733258,0.5288635726243963,1.0587690252703705,0.002590409845783453,0.05089606906022756,mean,0.514869140625,0.009761759237050582,0.07929143011821144,-0.7539071162215834,8.988264530628712e-08,0.0002998043450423745,mean,0.12466070622039709,-1.037792480470699,mean,0.010129244643179358,-0.7461462223710775,0.4872972296800058,3.801606135606756e-05,0.00616571661334411,35.40565888516817,0.0
LS_030_01,1326.0526315789473,1000,mean,1.3105050534373717,0.20199451721829553,-0.025787722589563702,-1.1911964143710236,4.0966873790461184e-05,0.006400536992351593,mean,0.030369654938898427,0.011879233802199836,-0.014558626684861117,-0.6382149515948781,1.3803576463175965e-07,0.0003715316468778395,median,1536.0,7.856665844885995,-26.81890171831278,794.1946027126424,0.0,0.0,trim10,0.3062548828125,0.0050496725676717836,-0.45468108600606527,-0.43198628261528604,2.894552104823935e-08,0.00017013383275597875,mean,0.06814595970217424,-1.1919700073830055,mean,-0.01265632939440537,-0.63672150701198,0.48975372804662765,6.519958558725822e-05,0.008074626033895206,36.995395088673405,0.0
LS_030_01,1336.842105263158,1000,mean,1.55101845614237,0.2518054199691301,-0.430380569016007,-1.4079410958499192,6.101391554217794e-05,0.0078111404764079065,mean,0.02435299092995669,0.011366475739758438,-0.36994549408498273,-0.9068270177539146,1.1919353457183903e-07,0.0003452441666007393,median,1601.0,2.6402376512077192,1.6210974752034413,3.593816845871004,0.004233983983983983,0.06506907087075997,mean,0.354798828125,0.003151713795140247,0.13991295684024388,-0.21912923353038805,9.94750663444205e-09,9.97371878210031e-05,mean,-0.37835506604449737,-1.4226612599082482,mean,-0.3707849380931389,-0.9057873024285401,0.7552490966132637,0.00010140473261879326,0.010069991689112422,38.560955427712315,0.0
LS_030_01,1347.6315789473683,1000,mean,1.5317294743737921,0.399348828244653,0.009869218381299179,-1.1769264256872225,0.00015591631574707844,0.012486645496172238,mean,0.04212602601451472,0.01682222846492041,-0.0014161249775820064,-0.47527645839499266,2.7755264550200065e-07,0.0005268326541720821,median,1669.0,7.6805486019441895,-25.114088582146888,729.0496700309607,0.0,0.0,trim10,0.52517822265625,0.009431509902354867,-0.6558037371941329,0.15622007447381359,8.772988925586408e-08,0.00029619231802304407,mean,0.17188498632419205,-1.1631087042366046,mean,-0.0030108802423165293,-0.47308227072604137,0.41746971240554004,4.115817925651118e-05,0.006415464071796458,40.19877239778379,0.0
LS_030_01,1358.421052631579,1000,mean,1.6418643162228517,0.7749634548315294,-0.004583949631498079,-0.9827572692212154,0.000598773560666181,0.024469850033585844,mean,0.03672503626176727,0.025081118195468516,-0.03916933853740483,-0.37940144249390695,6.547158916671861e-07,0.0008091451610602304,median,1733.0,12.711586188333202,-0.020171373459524945,423.63610356768277,0.16239839839839845,0.4029868464334766,trim10,0.9785400390625,0.013003083428898067,0.41186841042763656,0.03909186709829626,1.9665119869334267e-07,0.0004434537165176797,mean,0.3683503395027892,-0.8837772439031388,mean,-0.038186757188258195,-0.3781360695431175,0.5420761791508233,0.0001915138005826944,0.013838851129436084,41.74024719314519,0.002
LS_031_01,1175.0,1000,mean,0.10826889553192544,0.015370577710007724,-0.010610121673357049,0.39877362901157154,2.3297392195211147e-07,0.00048267372204431375,trim10,0.004776886857622693,0.0024816463619157644,0.3207664287632059,0.7170639132943091,6.86672964871818e-09,8.286573265661856e-05,median,469.0,3.0187767411673576,-14.144487264880507,349.37624005324915,0.0,0.0,mean,0.08421484375,0.0018206487594975996,-0.20671929944210252,0.44802895478003,3.3104208792532933e-09,5.7536257084149067e-05,mean,0.24467951609388242,0.3900335830503976,trim10,0.3326339450600261,0.7839462876540768,0.24172276654576214,2.0153307633933537e-05,0.004489243548075058,11.2961199847577,0.0
LS_031_01,1185.7894736842106,1000,trim10,0.16633362253087536,0.008048823113332855,0.0094717260085834,0.5074631379195735,6.040554052235152e-08,0.0002457753863232678,mean,0.006756493177316287,0.003249603083906273,0.1296675061834164,-0.17612955481942105,1.1109454424578474e-08,0.00010540139669178239,median,555.0,3.2320461200487407,-20.0186997074337,540.8166406233844,0.24309909909909916,0.4930508078272453,mean,0.19237109375,0.0029206894372893846,0.1411863851394982,-0.4101268018285711,7.78108491410738e-09,8.821045807673476e-05,trim10,0.10027580357643111,0.5193156186982817,mean,0.13546012863660042,-0.1462304949981439,0.2733755202828002,1.864256237116183e-05,0.00431770336766687,13.36747674102457,0.0
LS_031_01,1196.578947368421,1000,mean,0.23543190775943126,0.01185497065601805,0.023068086190129615,-0.15468833369580004,1.4714827181031308e-07,0.0003835991029842394,mean,0.009861169693878558,0.004256589495529152,0.22267871174395099,0.40089955008130085,1.8492104252123226e-08,0.0001359856766432525,median,638.0,4.369335314563428,-22.793460955370833,641.7766658992507,0.0,0.0,trim10,0.11509521484375,0.006447064132222315,-0.5841224753568063,-0.5987485008765141,4.907934751596544e-08,0.00022153859148230911,mean,0.09261445514281999,-0.1412395683676082,mean,0.2268698805812692,0.4320513186981261,0.27411241158918787,1.352571948817023e-05,0.003677732927792641,15.366576866258875,0.0
LS_031_01,1207.3684210526317,1000,trim10,0.3011864172153027,0.024053734877592936,0.5214892022040756,-0.30710935117895755,6.656685063754321e-07,0.0008158851061120261,mean,0.010663861678782154,0.005407954594953159,-0.158374402626257,0.08466842515932527,2.76363496778828e-08,0.00016624184093627813,median,714.0,4.881570826458807,-15.341067080986964,300.351658132759,0.0,0.0,mean,0.098859375,0.003751949685543384,0.0851087938700727,-0.9184361910504855,1.3912513144858746e-08,0.00011795131684241065,trim10,0.6044907231659024,-0.19501061481459736,mean,-0.1558208186647061,0.09416142638273994,0.32789003898511826,2.681155151009812e-05,0.0051779872064440366,17.197078185750527,0.0
LS_031_01,1218.157894736842,1000,trim10,0.38524250926938064,0.026083674252336996,0.548450920390401,0.020999247277873945,7.572971880326866e-07,0.0008702282390457613,mean,0.012548150003051326,0.006345370339000404,-0.00825793929809307,-0.09267952013287983,4.234337297577593e-08,0.00020577505430876682,median,794.0,4.371291821897984,-23.51873616188467,670.1827182559502,0.01258033033033033,0.112162071710228,mean,0.084908203125,0.0019158884319574346,-0.27508109646223833,-0.30915943519011657,3.3251717866242994e-09,5.766430253306026e-05,trim10,0.6337907072683404,0.13237103836844621,mean,-0.008924758325631459,-0.0875938504131284,0.36262839775459216,3.6028367273693386e-05,0.00600236347397368,19.123921679952268,0.0
