geom_id,AR,lambda,twist,n_hover_steps,n_cruise_steps,meas_hover_alpha,meas_hover_v,meas_hover_mu,meas_hover_var,meas_cruise_alpha,meas_cruise_v,meas_cruise_mu,pred_hover_alpha,pred_hover_v,pred_hover_mu,pred_hover_std,pred_hover_lower95,pred_hover_upper95,pred_cruise_alpha,pred_cruise_v,pred_cruise_mu,pred_cruise_std,pred_cruise_lower95,pred_cruise_upper95,pred_hover_mu_norm,pred_cruise_mu_norm,meas_hover_mu_norm,meas_cruise_mu_norm
G094,25.233,0.642237,-10.8071,0,1,,,,,0.588458,20.9232,-3.14805,16.5079,38.6032,0.627087,0.0500087,0.465411,0.788764,13.0159,25,4.24208,0.257771,3.2916,5.19256,1.64398,1.22995,,-0.912745
G095,21.4447,0.907634,-6.11499,0,1,,,,,1.85958,22.1085,-1.2483,12.0635,21.5714,0.760638,0.0565409,0.577843,0.943433,11.4286,25,4.32397,0.267648,3.33707,5.31087,1.9941,1.25369,,-0.361931
G096,23.6302,0.700818,-4.69766,0,1,,,,,3.85928,15.2418,1.67745,12.2222,21.5714,0.681632,0.0671168,0.464646,0.898618,9.52381,25,4.65675,0.256736,3.71009,5.60342,1.78698,1.35018,,0.486359
G097,27.1683,0.872951,-9.96032,0,1,,,,,6.10266,15.1405,0.966185,12.5397,21.5714,0.67398,0.0612933,0.475821,0.872139,14.6032,25,4.05219,0.258322,3.09968,5.00471,1.76692,1.17489,,0.280136
G098,21.3331,0.658628,-3.45107,0,1,,,,,6.40789,23.6621,4.30456,11.746,21.5714,0.613069,0.0810073,0.351175,0.874963,8.88889,25,5.3202,0.258777,4.36601,6.27439,1.60723,1.54254,,1.24806
G099,28.3926,0.674985,-10.4945,0,1,,,,,0.653908,16.5192,-2.78682,16.5079,38.6032,0.630441,0.0546254,0.453839,0.807043,13.3333,25,3.8764,0.259045,2.92122,4.83158,1.65278,1.12392,,-0.808011
G100,22.7584,0.799715,-8.73649,0,1,,,,,0.155589,17.9902,-3.26691,12.6984,21.5714,0.728471,0.0444564,0.584745,0.872196,12.6984,25,4.33864,0.256754,3.39191,5.28536,1.90977,1.25795,,-0.94721
G101,22.2423,0.600161,-9.3204,0,1,,,,,11.2048,20.2797,4.75995,16.3492,38.6032,0.711646,0.0503408,0.548896,0.874396,11.4286,25,4.77157,0.262977,3.8019,5.74125,1.86567,1.38347,,1.3801
G102,24.7904,0.734956,-14.7328,0,1,,,,,12.5073,22.8642,4.04054,16.8254,23.9206,0.668956,0.0649251,0.459056,0.878857,15.5556,25,4.29253,0.27351,3.28401,5.30104,1.75375,1.24458,,1.17152
G103,29.0163,0.837151,-5.11156,0,1,,,,,3.76985,17.2121,1.00956,12.0635,21.5714,0.734885,0.0567999,0.551253,0.918517,11.4286,25,3.79896,0.267264,2.81347,4.78444,1.92659,1.10147,,0.292712
